joint1,joint2,joint3,joint4,joint5,joint6
-1.7158176144807493e-13,-0.5235987666666981,2.094395066666684,-2.1300672874849773e-14,-1.5707963000000311,-2.0593132476649785e-13
-1.7369410202744806e-13,-0.5235987666666984,2.094395066666684,-2.1562757287554625e-14,-1.5707963000000313,-2.0846608480624015e-13
-1.7580645157700914e-13,-0.5235987666666986,2.094395066666684,-2.1825134941267683e-14,-1.5707963000000316,-2.1100075895087684e-13
-1.7791880325022616e-13,-0.5235987666666988,2.094395066666684,-2.208705116152981e-14,-1.5707963000000318,-2.1353539719771e-13
-1.8003113604128326e-13,-0.523598766666699,2.094395066666684,-2.234897902525981e-14,-1.570796300000032,-2.160701187514843e-13
-1.821434647232922e-13,-0.5235987666666992,2.094395066666684,-2.2611111479355686e-14,-1.5707963000000322,-2.1860484675207333e-13
-1.8425578598252554e-13,-0.5235987666666995,2.094395066666684,-2.2872831857698485e-14,-1.5707963000000325,-2.2113967340066042e-13
-1.8636813250343207e-13,-0.5235987666666997,2.094395066666684,-2.313498584744345e-14,-1.5707963000000327,-2.2367439115830002e-13
-1.8848049495556652e-13,-0.5235987666666999,2.094395066666684,-2.3396704585780823e-14,-1.570796300000033,-2.2620913707098759e-13
-1.9059287384517303e-13,-0.5235987666667001,2.094395066666684,-2.365873068260507e-14,-1.5707963000000331,-2.287437667590294e-13
-1.9270526237660247e-13,-0.5235987666667004,2.094395066666684,-2.3920621115912788e-14,-1.5707963000000333,-2.31278275957917e-13
-1.9481764697741555e-13,-0.5235987666667006,2.094395066666684,-2.4182313370565486e-14,-1.5707963000000336,-2.3381274770795024e-13
-1.9693002291928507e-13,-0.5235987666667008,2.094395066666684,-2.444421118917314e-14,-1.5707963000000338,-2.363471612382255e-13
-1.9904241016687587e-13,-0.523598766666701,2.094395066666684,-2.4706053479748202e-14,-1.570796300000034,-2.3888148276625623e-13
-2.0115478878610656e-13,-0.5235987666667012,2.094395066666684,-2.496768787817459e-14,-1.5707963000000342,-2.414157385130431e-13
-2.0326715939804194e-13,-0.5235987666667015,2.094395066666684,-2.5229340882435392e-14,-1.5707963000000345,-2.439500090544987e-13
-2.0537952459342905e-13,-0.5235987666667017,2.094395066666684,-2.5490814100805637e-14,-1.5707963000000347,-2.464842937911682e-13
-2.0749186877399975e-13,-0.5235987666667019,2.094395066666684,-2.5752332087290552e-14,-1.570796300000035,-2.4901860049764853e-13
-2.0960421250004849e-13,-0.5235987666667021,2.094395066666684,-2.6013892337373624e-14,-1.5707963000000351,-2.515529152320241e-13
